replicate,mt_raw_mean_tv,y_raw_mean_tv,delta_y_minus_mt_raw,mt_noise_floor_subtracted_mean_tv,y_noise_floor_subtracted_mean_tv,delta_y_minus_mt_noise_floor_subtracted,mt_parametric_bias_corrected_mean_tv,y_parametric_bias_corrected_mean_tv,delta_y_minus_mt_parametric_bias_corrected
129,0.5434710626674912,0.4193729385693672,-0.12409812409812404,0.10777415904493108,0.125104721115719,0.01733056207078791,0.3022706522845602,0.3063377436890483,0.004067091404488132
130,0.60295128152271,0.46313474884903455,-0.1398165326736755,0.15788248731058077,0.15487963191337142,-0.0030028553972093475,0.36175087113977905,0.35009955396871567,-0.01165131717106338
131,0.6086018374741201,0.48139773119392687,-0.12720410628019324,0.16353304326199078,0.19987580364512955,0.03634276038313877,0.36740142709118906,0.36836253631360805,0.0009611092224189877
132,0.6857450618320183,0.3459701937962807,-0.33977486803573764,0.24067626761988903,0.08288422534250676,-0.15779204227738225,0.4445446514490873,0.2329349989159619,-0.2116096525331254
133,0.5911465782894354,0.46170707599279026,-0.12943950229664514,0.16105236304992085,0.15382330981965436,-0.007229053230266486,0.34994616790650446,0.3486718811124714,-0.0012742867940330749
134,0.6466247435459257,0.5639499008957137,-0.08267484265021197,0.20155594933379656,0.25557942837337144,0.054023479039574884,0.4054243331629948,0.4509147060153948,0.045490372852399985
135,0.58932350718065,0.4603617942903657,-0.12896171289028424,0.14656650122655904,0.16861559425479594,0.022049093028236905,0.348123096797719,0.34732659941004684,-0.0007964973876721793
136,0.5265651789170953,0.45545392953929537,-0.07111124937779995,0.09729034965205592,0.16180487307117972,0.0645145234191238,0.2853647685341642,0.34241873465897654,0.05705396612481234
137,0.6059457329940523,0.44774764606697376,-0.15819808692707854,0.16179594067755307,0.15438103319960464,-0.007414907477948429,0.3647453226111213,0.33471245118665494,-0.030032871424466367
138,0.5749177356320213,0.4321722625294054,-0.14274547310261593,0.16180965570560635,0.1550663164189215,-0.006743339286684857,0.33740618972711456,0.3191370676490865,-0.018269122078028055
139,0.6183862433862434,0.4963781809019904,-0.122008062484253,0.1755162586979236,0.19784185740963053,0.022325598711706945,0.3771858330033124,0.38334298602167155,0.006157153018359174
140,0.5628562042321732,0.5472751987563725,-0.015581005475800658,0.1371862280472548,0.24854154180909763,0.11135531376184282,0.32165579384924214,0.43424000387605377,0.11258421002681163
141,0.6095483127461511,0.4667075053705693,-0.14284080737558175,0.16447951853402176,0.16455606035396622,7.654181994445897e-05,0.36834790236322007,0.3536723104902505,-0.014675591872969573
142,0.5721182917611489,0.4394042465471037,-0.13271404521404523,0.1270494975490196,0.14915284276336807,0.02210334521434848,0.33091788137821787,0.32636905166678487,-0.004548829711433
143,0.5658607887599484,0.4393914617128903,-0.1264693270470581,0.14192629410097374,0.15154737807943697,0.00962108397846323,0.3246603783770174,0.3263562668325714,0.0016958884555540177
144,0.6535391678601264,0.4782924573338107,-0.17524671052631574,0.21091741759715582,0.17647611346292905,-0.034441304134226775,0.4123387574771954,0.3652572624534919,-0.04708149502370351
145,0.6001629818594104,0.4615811602418745,-0.1385818216175359,0.15509418764728114,0.16330671924325288,0.00821253159597174,0.3589625714764794,0.3485459653615557,-0.010416606114923732
146,0.5662136162136162,0.4072212054354911,-0.1589924107781251,0.12938629025545517,0.1178366172413546,-0.011549673014100578,0.3250132058306852,0.29418601055517224,-0.030827195275512975
147,0.6348134530465357,0.4925069082963819,-0.1423065447501538,0.18974465883440647,0.1960128523690178,0.006268193534611333,0.39361304266360475,0.3794717134160631,-0.014141329247541634
148,0.6492242160021904,0.5498550297311907,-0.09936918627099967,0.20415542179006105,0.2425858797378601,0.03843045794779906,0.4080238056192593,0.43681983485087195,0.02879602923161262
149,0.7037594220824034,0.5125276724655606,-0.19123174961684275,0.26259011766619256,0.2041571999432184,-0.058432917722974154,0.4625590116994725,0.3994924775852418,-0.06306653411423069
150,0.620016339869281,0.43186729237149407,-0.18814904749778688,0.17494754565715173,0.13713402172990413,-0.0378135239272476,0.37881592948635007,0.31883209749117525,-0.05998383199517482
151,0.7037968975468976,0.4550955988455989,-0.24870129870129865,0.25872810333476826,0.16005975752422183,-0.09866834581054643,0.46259648716396645,0.34206040396528004,-0.12053608319868642
152,0.5788438549890413,0.46086155476683427,-0.11798230022220707,0.15337313769998895,0.15249108224449198,-0.0008820554554969662,0.33764344460611034,0.3478263598865154,0.010182915280405047
153,0.6009623643552215,0.42491380973523823,-0.1760485546199833,0.1558935701430922,0.1330332394162016,-0.022860330726890615,0.35976195397229055,0.31187861485491947,-0.04788333911737108
154,0.6468794697366125,0.3675256036480526,-0.2793538660885599,0.22015013981019763,0.09703804425799624,-0.12311209555220139,0.4056790593536816,0.2544904087677337,-0.15118865058594788
155,0.5227116727116726,0.47080443151871726,-0.05190724119295537,0.09465742605846596,0.18174099999896215,0.08708357394049619,0.28151126232874163,0.3577692366383984,0.07625797430965675
